show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_int,duration_type,year_added
s38,Movie,The Proud Family: Louder and Prouder,Unknown,"Kyla Pratt, Tommy Davidson, Paula Jai Parker, JoMarie Payton, Cedric the Entertainer",Unknown,2021-11-12,2021,TV-G,1 min,"Animation, Comedy, Coming of Age","""The Proud Family: Louder and Prouder"" follows Penny Proud and her family. Coming in February 2022.",1,min,2021
s39,Movie,The Simpsons in Plusaversary,David Silverman,"Dan Castellaneta, Nancy Cartwright, Yeardley Smith, Tress MacNeille, Hank Azaria",Unknown,2021-11-12,2021,TV-PG,6 min,"Animation, Comedy",Celebrate Disney+ Day with The Simpsons and their friends from across the service.,6,min,2021
s40,Movie,Tick Tock Tale,Dean Wellins,Unknown,United States,2021-11-12,2010,G,6 min,"Animation, Crime, Family",A tale of a quirky mantle clock.,6,min,2021
s41,Movie,Under the Helmet: The Legacy of Boba Fett,Unknown,Unknown,Unknown,2021-11-12,2021,TV-PG,22 min,Science Fiction,"A special celebrating the origins and legacy of Star Wars’ legendary bounty hunter, Boba Fett.",22,min,2021
s42,Movie,Willow,Unknown,Unknown,Unknown,2021-11-12,2021,TV-PG,3 min,"Action-Adventure, Fantasy","Meet the cast of the all-new Disney+ fantasy-adventure series ""Willow."" Coming to Disney+ in 2022.",3,min,2021
s43,Movie,Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,"Jason Lee, David Cross, Jenny Slate, Justin Long, Matthew Gray Gubler, Jesse McCartney",United States,2021-11-05,2011,G,87 min,"Comedy, Family, Music",The Chipmunks and Chipettes get stranded on a remote island – or so it would seem.,87,min,2021
s44,Movie,Jingle All The Way,Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, Robert Conrad, Martin Mull",United States,2021-11-05,1996,PG,90 min,"Comedy, Family",A father's Christmas Eve turns into a madcap scramble to find a much sought-after toy for his son.,90,min,2021
s45,Movie,Jingle All the Way 2,Alex Zamm,"Larry the Cable Guy, Brian Stepanek, Santino Marella, Kennedi Clements, Kirsten Robek, Rachel Hayward",United States,2021-11-05,2014,PG,91 min,"Comedy, Family",Two dads compete to be the best father and make Christmas amazing!,91,min,2021
s46,Movie,Prep & Landing: Operation Secret Santa,"Kevin Deters, Stevie Wermers-Skelton","Betty White, Dave Foley, Derek Richardson, Sarah Chalke, W. Morgan Sheppard",Unknown,2021-11-05,2010,TV-G,8 min,"Animation, Family, Fantasy",Mrs. Claus enlists two elves in a secret mission.,8,min,2021
s47,Movie,Santa Buddies: The Legend of Santa Paws,Robert Vince,"Christopher Lloyd, Danny Woodburn, Craig Anton, Michael Teigen, Ben Giroux, Paul Rae","United States, Canada",2021-11-05,2009,G,93 min,"Comedy, Fantasy, Kids","The Buddies remind Santa Paws' feisty son, Puppy Paws, about the true meaning of Christmas.",93,min,2021
s48,Movie,Snow Buddies,Robert Vince,"Dominic Scott Kay, John Kapelos, Lise Simms, Mike Dopud, Charles C. Stevenson Jr., Dylan Minnette",United States,2021-11-05,2008,G,91 min,"Action-Adventure, Comedy, Kids",Disney’s favorite talking pups put one paw in front of the other in a thrilling Alaskan adventure.,91,min,2021
s49,Movie,Space Buddies,Robert Vince,"F.T. Anderson, Diedrich Bader, Field Cate, Kendall Cross, Mike Dopud, Mark Downey","United States, Canada",2021-11-05,2009,G,87 min,"Action-Adventure, Comedy, Kids","Disney's most adventurous talking pups take one small step for dog, one giant leap for dogkind.",87,min,2021
s50,Movie,The Search for Santa Paws,Robert Vince,"Resse Alexander, Diedrich Bader, Sahar Biniaz, Jan Boss, Ameko Eks Mass Carroll, Melody Choi",Canada,2021-11-05,2010,G,101 min,"Drama, Family, Fantasy",Discover how the legendary friendship of Santa Claus and Santa Paws began.,101,min,2021
s51,Movie,X-Men: First Class,Matthew Vaughn,"James McAvoy, Michael Fassbender, Rose Byrne, Jennifer Lawrence, January Jones, Nicholas Hoult","United States, United Kingdom",2021-11-05,2011,PG-13,132 min,"Action-Adventure, Science Fiction, Superhero","Following the classic mythology, X-Men: First Class charts the epic beginning of the X-Men saga.",132,min,2021
s52,TV Show,Disney Amphibia,Unknown,"Justin Felbinger, Amanda Leighton, Bill Farmer, Brenda Song","United States, South Korea",2021-11-03,2018,TV-Y7,3 Seasons,"Animation, Comedy, Family",Anne Boonchuy is transported to the world of Amphibia.,3,Seasons,2021
s53,TV Show,Photo Ark,Unknown,Joel Sartore,United States,2021-11-03,2017,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",National Geographic photographer Joel Sartore photographs some of the rarest animals in the world.,1,Season,2021
s54,TV Show,Storm Rising,Unknown,Unknown,Unknown,2021-11-03,2021,TV-14,1 Season,"Action-Adventure, Animals & Nature, Docuseries",Storm chasers Reed Timmer and Mike Theiss track and study a new category of deadly storms.,1,Season,2021
s55,Movie,Bob Ballard: An Explorer's Life,Unknown,Unknown,Unknown,2021-10-29,2021,TV-PG,44 min,"Biographical, Documentary","An intimate portrait of Bob Ballard, the legendary explorer who found the Titanic.",44,min,2021
s56,Movie,"McFarland, USA",Niki Caro,"Kevin Costner, Maria Bello, Morgan Saylor, Martha Higareda, Michael Aguero, Sergio Avelar",United States,2021-10-29,2015,PG,131 min,"Drama, Sports",A coach guides underdogs past tremendous obstacles to become champions.,131,min,2021
s57,Movie,Rookie of the Year,Daniel Stern,"Thomas Ian Nicholas, Gary Busey, Albert Hall, Amy Morton, Dan Hedaya, Eddie Bracken",United States,2021-10-22,1993,PG,104 min,"Comedy, Family, Sports","A 12-year-old boy can throw a 100 mph fastball, and the Chicago Cubs want him as their new pitcher!",104,min,2021
s58,Movie,Thumbelina,"Don Bluth, Gary Goldman","Gino Conforti, Barbara Cook, Jodi Benson, Will Ryan, June Foray, Kenneth Mars","Ireland, United States, Canada, United Kingdom, Denmark, Spain, Poland, Hungary",2021-10-22,1994,G,87 min,"Animation, Family, Fantasy",A digit-sized heroine evades the clutches of various creatures so she can reunite with her prince.,87,min,2021
s59,TV Show,PJ Masks,Unknown,"Kyle Breitkopf, Jacob Ursomarzo, Addison Holley","France, United Kingdom",2021-10-20,2015,TV-Y7,5 Seasons,"Action-Adventure, Animation, Kids",Look out Night Time Baddies the PJ Masks are coming!,5,Seasons,2021
s60,TV Show,The Wild Life of Dr. Ole,Unknown,Unknown,Unknown,2021-10-20,2021,TV-PG,1 Season,"Animals & Nature, Reality","Doc Ole practices his unique brand of animal care with wit, expertise and insight.",1,Season,2021
s61,Movie,Lost Cities with Albert Lin: The Great Flood,Jim Greayer,Dr. Albert Yu-Min Lin,Unknown,2021-10-15,2021,TV-PG,44 min,"Documentary, Historical",Albert Lin is on a global quest to find the origins of Great Flood stories.,44,min,2021
s62,Movie,Megacity of the Maya Warriors,Ben Crichton,Albert Lin,Unknown,2021-10-15,2021,TV-PG,44 min,Documentary,Albert Lin sets out to solve an ancient mystery and find a Lost Maya city.,44,min,2021
s63,TV Show,Apollo: Back To The Moon,Unknown,"Bill Anders, Jack Clemons, Fred Haise, Glynn Lunney, Jay Barbree, Brad Vinikow",Unknown,2021-10-13,2019,TV-PG,1 Season,"Docuseries, Historical","Follow the Apollo lunar landing program from the inside, as never shown before.",1,Season,2021
s64,TV Show,Just Beyond,Unknown,"Mckenna Grace, Lexi Underwood, Cedric Joe, Tim Heidecker, Riki Lindhome, Nasim Pedrad",Unknown,2021-10-13,2021,TV-PG,1 Season,"Anthology, Comedy, Coming of Age","Inspired by the writings of R.L. Stine, “Just Beyond” is a supernatural anthology series.",1,Season,2021
s65,TV Show,Secrets Of The Zoo: Down Under,Unknown,Naomi Watts,Unknown,2021-10-13,2020,TV-14,2 Seasons,"Animals & Nature, Docuseries, Family",This series is a behind-the-scenes look at one of the world’s most famous zoos.,2,Seasons,2021
s66,TV Show,Secrets of the Zoo: North Carolina,Unknown,Unknown,Unknown,2021-10-13,2020,TV-14,1 Season,Reality,"The North Carolina Zoo has more than 1,000 animals that live in lush natural habitats.",1,Season,2021
s67,TV Show,The Wizard of Paws,Unknown,Unknown,Unknown,2021-10-13,2021,TV-PG,1 Season,"Animals & Nature, Docuseries, Medical",Follow pet prosthetics pioneer Derrick Campana as he gives troubled animals a second chance.,1,Season,2021
s68,TV Show,Zombies: Addison's Moonstone Mystery,Unknown,Unknown,Unknown,2021-10-13,2020,TV-G,1 Season,"Animation, Coming of Age, Fantasy",Things are smooth sailing at Seabrook High until ...,1,Season,2021
