show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_int,duration_type,year_added
s404,TV Show,Wild Central America,Unknown,Nigel Marven,Unknown,2020-09-25,2020,TV-PG,1 Season,"Action-Adventure, Animals & Nature, Docuseries",Presenter Nigel Marven discovers the colourful and varied wildlife and culture of Central America.,1,Season,2020
s405,TV Show,Ancient China from Above,Unknown,Dr. Allan Maca,United States,2020-09-18,2020,TV-14,1 Season,"Docuseries, Historical",Archaeologist Allan Maca reveals the amazing wonders of Ancient China like never before.,1,Season,2020
s406,TV Show,Becoming,Unknown,Unknown,United States,2020-09-18,2020,TV-PG,1 Season,"Anthology, Docuseries, Family","Becoming chronicles the origin stories of world-class entertainers, musicians and athletes.",1,Season,2020
s407,TV Show,Coop & Cami Ask The World,Unknown,"Ruby Turner, Dakota Lotus, Olivia Sanabia, Albert Tsai, Paxton Booth, Rebecca Metz",United States,2020-09-18,2018,TV-G,2 Seasons,"Comedy, Family, Kids","Cooper and Cami Wrather co-host ""Would You Wrather.""",2,Seasons,2020
s408,TV Show,Europe from Above,Unknown,Julian Barratt,United Kingdom,2020-09-18,2019,TV-G,1 Season,"Docuseries, Reality",Europe from Above takes to the air over Europe’s finest cultural and geographical landmarks.,1,Season,2020
s409,Movie,Ever After: A Cinderella Story,Andy Tennant,"Drew Barrymore, Anjelica Huston, Dougray Scott, Patrick Godfrey, Megan Dodds, Melanie Lynskey",United States,2020-09-18,1998,PG-13,122 min,"Drama, Romance",A young woman falls in love with a prince while pretending to be a princess.,122,min,2020
s410,TV Show,Kingdom of the Mummies,Unknown,Kerry Shale,United States,2020-09-18,2020,TV-14,1 Season,"Docuseries, Historical, Reality",A team of archaeologists uncover the first Egyptian funeral parlor ever found.,1,Season,2020
s411,Movie,Morning Light,Mark Monroe,Patrick Warburton,United States,2020-09-18,2008,PG,99 min,"Documentary, Sports","Fifteen rookie sailors race to be part of the ""Morning Light"" crew.",99,min,2020
s412,Movie,Notre Dame: Race Against The Inferno,"Fabrice Gardel, Simon Kessler, Josselin Mahot",Paul Bandey,"United Kingdom, France",2020-09-18,2019,TV-PG,45 min,Documentary,"On April 15, 2019, Paris’ firefighters gave everything to save the Notre Dame cathedral.",45,min,2020
s413,TV Show,Once Upon a Time,Unknown,"Ginnifer Goodwin, Jennifer Morrison, Robert Carlyle, Lana Parrilla, Jared Gilmore, Josh Dallas",United States,2020-09-18,2011,TV-PG,7 Seasons,"Action-Adventure, Fantasy, Soap Opera / Melodrama",Fairy tale characters inhabit a land of good and evil.,7,Seasons,2020
s414,TV Show,Soy Luna,Unknown,"Karol Sevilla, Ruggero Pasquarelli, Valentina Zenere, Lucila Gandolfo, Michael Ronda, Carolina Kopelioff","Argentina, Mexico",2020-09-18,2015,TV-G,3 Seasons,"Comedy, Coming of Age, Drama",Luna will learn that love transcends distance.,3,Seasons,2020
s415,TV Show,Violetta,Unknown,"Diego Ramos, Martina Stoessel, Pablo Espinosa, Jorge Blanco, Mercedes Lambre, Nicolás Garnier",Argentina,2020-09-18,2011,TV-G,3 Seasons,"Coming of Age, Drama, Music",Violetta is a talented teen following her dream.,3,Seasons,2020
s416,Movie,Christopher Robin,Marc Forster,"Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss, Oliver Davies, Ronke Adekoluejo","United Kingdom, United States",2020-09-11,2018,PG,109 min,"Drama, Family, Fantasy",Pooh leaves the Hundred Acre Wood to help grown-up Christopher Robin.,109,min,2020
s417,Movie,D2: The Mighty Ducks,Sam Weisman,"Emilio Estevez, Michael Tucker, Jan Rubeš, Kathryn Erbe, Joshua Jackson, Elden Ratliff",United States,2020-09-04,1994,PG,107 min,"Comedy, Drama, Family",The Mighty Ducks face the meanest team on ice at the Junior Goodwill Games.,107,min,2020
s418,Movie,D3: The Mighty Ducks,Robert Lieberman,"Emilio Estevez, Jeffrey Nordling, David Selby, Heidi Kling, Joshua Jackson, Elden Ratliff",United States,2020-09-04,1996,PG,104 min,"Comedy, Coming of Age, Drama",The Mighty Ducks inherit a new coach and a new set of problems.,104,min,2020
s419,TV Show,Earth to Ned,Unknown,Unknown,United States,2020-09-04,2020,TV-PG,1 Season,"Comedy, Parody, Science Fiction","From the Jim Henson Company, alien commander Ned hosts a late-night talk show with celebrity guests.",1,Season,2020
s420,Movie,Trick or Treat,Jack Hannah,Unknown,United States,2020-09-04,1952,TV-G,9 min,"Animation, Family, Fantasy","Donald plays a trick on his nephews, but a witch helps them out. See details for advisory.",9,min,2020
s421,Movie,Alice Through the Looking Glass,James Bobin,"Johnny Depp, Anne Hathaway, Mia Wasikowska, Matt Lucas, Rhys Ifans, Helena Carter","United States, United Kingdom",2020-08-28,2016,PG,115 min,"Action-Adventure, Fantasy",Alice returns to Underland to save the Mad Hatter in a race against time.,115,min,2020
s422,Movie,Phineas and Ferb The Movie: Candace Against the Universe,Unknown,"Ashley Tisdale, Vincent Martella, Ali Wong, Dan Povenmire, Alyson Stoner, Maulik Pancholy",United States,2020-08-28,2020,TV-G,86 min,"Action-Adventure, Animation, Comedy","Phineas and Ferb set out across the galaxy to rescue Candace, who has been abducted by aliens.",86,min,2020
s423,Movie,Back to the Titanic,Unknown,Unknown,United Kingdom,2020-08-21,2020,TV-PG,44 min,"Documentary, Historical",Back to the Titanic documents the first manned dives to Titanic in nearly 15 years.,44,min,2020
s424,Movie,Beauty and the Beast,Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Kevin Kline, Josh Gad, Ewan McGregor",United States,2020-08-21,2017,PG,138 min,"Family, Fantasy, Musical",Belle must look beyond the Beast’s exterior to find the true Prince within.,138,min,2020
s425,Movie,Mars: One Day on the Red Planet,Martin Johnson,Nigel Barber,United States,2020-08-21,2020,TV-PG,88 min,Documentary,"An epic journey around the real Mars – built from data, as you’ve never seen it before.",88,min,2020
s426,Movie,The One and Only Ivan,Thea Sharrock,"Sam Rockwell, Angelina Jolie, Danny DeVito, Helen Mirren, Brooklynn Prince, Ramón Rodríguez",United States,2020-08-21,2020,PG,95 min,"Drama, Family, Fantasy",An adaptation of the award-winning book about a very special gorilla.,95,min,2020
s427,TV Show,"Weirdest, Bestest, Truest",Unknown,"Charlie Engelman, Kirby Engelman",Unknown,2020-08-21,2018,TV-G,1 Season,"Animals & Nature, Kids, Variety",Siblings Kirby and Charlie share strange discoveries and fun facts from the world of Weird But True!,1,Season,2020
s428,TV Show,Disney Junior T.O.T.S.: Calling All T.O.T.S. (Shorts),Unknown,"Jet Jurgensmeyer, Christian Simon, Megan Hilty",Unknown,2020-08-14,2020,TV-Y,1 Season,"Animation, Kids, Music",What happens after the baby animals are delivered?,1,Season,2020
s429,Movie,Disney Zombies 2,Paul Hoen,"Milo Manheim, Meg Donnelly, Trevor Tordjman, Kylee Russell, Carla Jeffery, Chandler Kinney",United States,2020-08-14,2020,TV-G,84 min,"Coming of Age, Fantasy, Musical",Zed and Addison encounter a group of werewolves!,84,min,2020
s430,Movie,India's Wild Leopards,Unknown,"Sandesh Kadur, Priya Singh",India,2020-08-14,2020,TV-14,45 min,"Animals & Nature, Documentary",Cameraman Sandesh Kadur’s mission is to uncover the secretive lives of India’s leopards.,45,min,2020
s431,TV Show,Jungle Animal Rescue,Unknown,Dan Nachtrab,United States,2020-08-14,2019,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",A team of conservationists and veterinarians helps India’s people and wildlife coexist.,1,Season,2020
s432,Movie,Magic Camp,Mark Waters,"Adam DeVine, Gillian Jacobs, Nathaniel McIntyre, Jeffrey Tambor, Cole Sand, Isabella Crovetti",United States,2020-08-14,2020,PG,101 min,"Comedy, Family",A group of misfit campers help a down-on-his-luck magician rediscover his love of magic.,101,min,2020
s433,Movie,Marvel Studios' Ant-Man and the Wasp,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins, Hannah John-Kamen, David Dastmalchian",United States,2020-08-14,2018,PG-13,120 min,"Action-Adventure, Comedy, Science Fiction",Ant-Man and the Wasp must join forces to uncover secrets from the past.,120,min,2020
s434,TV Show,Nature Boom Time,Unknown,"Charlie Engelman, Kirby Engelman, Patrick Rahill",United States,2020-08-14,2016,TV-G,1 Season,"Animals & Nature, Docuseries, Kids","Charlie, Kirby, and Patrick travel around the U.S. to learn about what makes nature awesome.",1,Season,2020
s435,TV Show,Sam's Zookeeper Challenge,Unknown,Sam Peltz,United States,2020-08-14,2018,TV-G,1 Season,"Animals & Nature, Docuseries, Family",Sam is put to the test to care for animals in “Zookeeper’s Challenge.”,1,Season,2020
s436,TV Show,Scuba Sam's World,Unknown,Sam Peltz,United States,2020-08-14,2018,TV-G,1 Season,"Animals & Nature, Docuseries, Kids",Take a deep dive and learn all about the beloved sea animals in our oceans!,1,Season,2020
s437,TV Show,Spaced Out,Unknown,Ben DeTour,Unknown,2020-08-14,2018,TV-G,1 Season,"Docuseries, Kids",Learn about our universe through imagery taken from the Hubble Space Telescope.,1,Season,2020
s438,Movie,The Greatest Showman,Michael Gracey,"Hugh Jackman, Zac Efron, Michelle Williams, Rebecca Ferguson, Zendaya , Keala Settle",United States,2020-08-14,2017,PG,106 min,"Biographical, Drama, Family",A bold and original musical celebrating the birth of show business and dreams coming to life.,106,min,2020
s439,TV Show,Weird But True!,Unknown,"Charlie Engelman, Kirby Engelman",United States,2020-08-14,2017,TV-G,3 Seasons,"Animals & Nature, Kids, Variety","Come along as we reveal fun, strange & surprising facts about our world in Weird But True!",3,Seasons,2020
s440,TV Show,Wild Cats of India,Unknown,James Murray,United States,2020-08-14,2020,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",Journey across the country’s landscapes to paint an intimate portrait of India's Wild Cats.,1,Season,2020
s441,Movie,Howard,Don Hahn,Howard Ashman,United States,2020-08-07,2020,TV-PG,95 min,"Biographical, Documentary, Music","“Howard” is the untold story of Howard Ashman, the brilliant lyricist behind Disney classics.",95,min,2020
s442,Movie,Prince of Persia: The Sands of Time,Mike Newell,"Jake Gyllenhaal, Ben Kingsley, Gemma Arterton, Alfred Molina, Richard Coyle, Toby Kebbell",United States,2020-08-07,2010,PG-13,117 min,"Action-Adventure, Fantasy",A rogue prince and rival princess safeguard a magical dagger with the power to reverse time.,117,min,2020
s443,Movie,Star Wars: Galaxy's Edge-Adventure Awaits,Unknown,"Neil Harris, Kaley Cuoco, Oscar Isaac, Sarah Hyland, Keegan-Michael Key, Jay Leno",United States,2020-08-07,2019,TV-PG,81 min,"Documentary, Family",Celebrating Disney’s new land that brings Star Wars to life!,81,min,2020
s444,Movie,The Hidden Kingdoms of China,"Ben Wallis, Emma Fraser, Jess Tombs",Michelle Yeoh,United States,2020-08-07,2020,TV-PG,88 min,"Animals & Nature, Documentary, Family",THE HIDDEN KINGDOMS OF CHINA takes audiences into the secret wilds of China.,88,min,2020
s445,Movie,The Peanuts Movie,Steve Martino,"Noah Schnapp, Alex Garfin, Hadley Miller, Mariel Sheets, Venus Schultheis, Noah Johnston",United States,2020-08-07,2015,G,89 min,"Animation, Comedy, Family","Snoopy takes to the skies against The Red Baron, while his pal, Charlie Brown, begins an epic quest.",89,min,2020
s446,TV Show,UFO Europe: The Untold Stories,Unknown,Robert Ashby,Unknown,2020-08-07,2012,TV-PG,1 Season,"Docuseries, Reality",A selection of stories featuring encounters and sightings of the unexplained.,1,Season,2020
s447,TV Show,Animal Showdown,Unknown,Brian Peck,Unknown,2020-07-31,2018,TV-G,1 Season,"Animals & Nature, Docuseries, Family",Animals face-off in this surprising competition of the toughest and biggest in the animal kingdom.,1,Season,2020
s448,TV Show,Best Job Ever,Unknown,Unknown,Unknown,2020-07-31,2018,TV-G,1 Season,"Animals & Nature, Docuseries, Family",Check out the cool jobs Nat Geo explorers do every day!,1,Season,2020
s449,Movie,Big Cat Games,Jeremy Turner,Boone Smith,Unknown,2020-07-31,2015,TV-PG,44 min,"Animals & Nature, Family, Reality","Boone Smith hosts a feline showdown as lion, tiger and cheetah battle for top cat title.",44,min,2020
s450,Movie,Black Is King,Beyoncé Knowles-Carter,Beyoncé Knowles-Carter,United States,2020-07-31,2020,TV-14,86 min,"Dance, Music, Musical","This visual album from Beyoncé reimagines lessons of ""The Lion King"" for young kings and queens.",86,min,2020
s451,Movie,Cradle of the Gods,Tim Conrad,Tim Conrad,United Kingdom,2020-07-31,2012,TV-PG,45 min,"Documentary, Historical","Located on a hilltop sanctuary, G – bekli Tepe in Turkey is the world's first known temple.",45,min,2020
s452,TV Show,Destination World,Unknown,Rick Robles,Unknown,2020-07-31,2018,TV-G,1 Season,"Animals & Nature, Docuseries, Kids",Check out the continents and find out what makes them unique from each other!,1,Season,2020
s453,TV Show,Fearless Adventures with Jack Randall,Unknown,Jack Randall,Unknown,2020-07-31,2018,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",Check out Jack Randall go head-to-head with all kinds of critters.,1,Season,2020
s454,Movie,Hunt for the Abominable Snowman,Dan Oliver,Stephen Rashbrook,Unknown,2020-07-31,2011,TV-PG,45 min,Documentary,"Across the Himalayas are stories of the yeti, or abominable snowman.",45,min,2020
s455,Movie,Incredibles 2,Brad Bird,"Craig Nelson, Holly Hunter, Sarah Vowell, Huckleberry Milner, Catherine Keener, Eli Fucile",United States,2020-07-31,2018,PG,118 min,"Action-Adventure, Animation, Family",The Incredibles spring into action when a dangerous new villain emerges.,118,min,2020
s456,TV Show,King Fishers,Unknown,Stephen Mangan,United Kingdom,2020-07-31,2013,TV-PG,1 Season,"Action-Adventure, Animals & Nature, Docuseries","With so many fishermen and so many fishing disciplines, who is best?",1,Season,2020
s457,Movie,Lost Temple of the Inca,Jim Aikman,Dan Nachtrab,United States,2020-07-31,2020,TV-PG,44 min,Documentary,A scientist discovers artifacts in Peru that could lead him to one of the country’s missing temples.,44,min,2020
s458,TV Show,Marvel Funko Shorts,Unknown,Unknown,Unknown,2020-07-31,2016,TV-Y7,2 Seasons,"Action-Adventure, Animation, Anthology",Marvel and Funko present Pop! style Marvel heroes.,2,Seasons,2020
s459,TV Show,Muppets Now,Unknown,"Dave Goelz, Matt Vogel, David Rudman, Peter Linz, Bill Barretta, Eric Jacobson",United States,2020-07-31,2020,TV-PG,1 Season,"Comedy, Family, Lifestyle",The Muppets have a brand-new series ready to stream… but only if they can upload it in time.,1,Season,2020
s460,Movie,Surviving the Mount St. Helens Disaster,Sophie Harris,Bill Ratner,United Kingdom,2020-07-31,2020,TV-PG,44 min,"Animals & Nature, Documentary",Eyewitness accounts and rare images chart the violent 1980 eruption of Mount St. Helens.,44,min,2020
s461,TV Show,What Sam Sees,Unknown,Sam Peltz,Unknown,2020-07-31,2018,TV-G,1 Season,"Animals & Nature, Docuseries, Family","Join Sam on an underwater journey and learn about sharks, eels, and more!",1,Season,2020
s462,Movie,Pirates of the Caribbean: Dead Men Tell No Tales,"Joachim Rønning, Espen Sandberg","Johnny Depp, Javier Bardem, Brenton Thwaites, Kaya Scodelario, Kevin McNally, Golshifteh Farahani",United States,2020-07-24,2017,PG-13,129 min,"Action-Adventure, Fantasy",Captain Jack Sparrow searches for the Trident of Poseidon.,129,min,2020
s463,TV Show,PJ Masks (Shorts),Unknown,Unknown,Unknown,2020-07-24,2017,TV-Y,1 Season,"Action-Adventure, Animation, Kids",The PJ Masks are protecting the city from villains!,1,Season,2020
s464,TV Show,Rogue Trip,Unknown,"Bob Woodruff, Mack Woodruff",Unknown,2020-07-24,2020,TV-PG,1 Season,"Buddy, Docuseries",Bob Woodruff and his son travel the world searching for beauty and adventure in unexpected places.,1,Season,2020
s465,TV Show,Wild Congo,Unknown,Corey Johnson,Unknown,2020-07-24,2014,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",The Congo: the most mysterious river in the dark heart of Africa.,1,Season,2020
s466,TV Show,Wild Sri Lanka,Unknown,Paul McGann,United Kingdom,2020-07-24,2016,TV-PG,1 Season,"Animals & Nature, Docuseries",This three-part series reveals the spectacular nature and amazing wildlife of Sri Lanka.,1,Season,2020
s467,Movie,A Pre-Opening Report from Disneyland,Wilfred Jackson,"Walt Disney, Winston Hibler",United States,2020-07-17,1955,TV-PG,55 min,"Documentary, Family, Historical",Walt provides a look at the details needed to get the Park ready to open. See details for advisory.,55,min,2020
s468,Movie,Diary of a Wimpy Kid: The Long Haul,David Bowers,"Jason Drucker, Alicia Silverstone, Tom Scott, Charlie Wright, Owen Asztalos, Dylan Walters",United States,2020-07-17,2017,PG,92 min,"Comedy, Family",A trip to Meemaw’s 90th birthday takes a detour due to Greg’s scheme to attend a gaming convention!,92,min,2020
s469,TV Show,Disney Junior Music Lullabies,Unknown,Unknown,Unknown,2020-07-17,2018,TV-Y,1 Season,"Animation, Kids, Music",Disney Junior songs reimagined as calming lullabies.,1,Season,2020
s470,Movie,Lost City of Machu Picchu,Unknown,Craig Sechler,United States,2020-07-17,2019,TV-14,44 min,"Documentary, Family",Who were the mysterious people who built Machu Picchu and why?,44,min,2020
s471,TV Show,Super Robot Monkey Team Hyperforce Go!,Unknown,"Greg Cipes, Kevin Michael	Richardson, Tom Kenny, Kari Wahlgren, Clancy Brown, Corey Feldman","United States, Japan",2020-07-17,2004,TV-Y7,2 Seasons,"Action-Adventure, Animation, Anime",Chiro and a team of five Robot Monkeys defend Shuggazoom City against Skeleton King and his minions.,2,Seasons,2020
s472,Movie,The Mouseketeers at Walt Disney World,John Tracy,"Jo Worley, Ronnie Schell, Dennis Underwood, Leslie Norris, Billy Attmore, Scott Craig",United States,2020-07-17,1977,TV-PG,56 min,"Coming of Age, Drama, Family",The Mouseketeers arrive to perform at Walt Disney World. See details for advisory.,56,min,2020
s473,TV Show,Wild Chile,Unknown,Peter Venn,United Kingdom,2020-07-17,2017,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",This beautiful and intriguing blue-chip series explores the incredibly varied wildlife of Chile.,1,Season,2020
s474,Movie,X-Men: Apocalypse,Bryan Singer,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Oscar Isaac, Nicholas Hoult, Rose Byrne",United States,2020-07-17,2016,PG-13,144 min,"Action-Adventure, Family, Science Fiction","Apocalypse, the most powerful mutant in the universe, tries to destroy all of mankind.",144,min,2020
s475,TV Show,Cosmos: A Spacetime Odyssey,Unknown,"Neil Tyson, Stoney Emshwiller",United States,2020-07-10,2013,TV-PG,1 Season,"Action-Adventure, Docuseries, Family",A 13-part adventure across the universe of space and time.,1,Season,2020
s476,Movie,Hamilton: History Has Its Eyes on You,Unknown,"Lin-Manuel Miranda, Thomas Kail, Christopher Jackson, Leslie Odom Jr., Phillipa Soo, Renee Goldsberry",United States,2020-07-10,2020,TV-PG,47 min,"Historical, Musical","Robin Roberts hosts a discussion with Lin-Manuel Miranda, Thomas Kail, and original cast members.",47,min,2020
s477,Movie,Solo: A Star Wars Story,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Thandie Newton, Phoebe Waller-Bridge",United States,2020-07-10,2018,PG-13,135 min,"Action-Adventure, Crime, Science Fiction",Witness the beginning of the Star Wars saga's most unlikely hero.,135,min,2020
s478,Movie,X-Men: Days of Future Past,Bryan Singer,"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Halle Berry, Nicholas Hoult","United States, United Kingdom, Canada",2020-07-10,2014,PG-13,132 min,"Action-Adventure, Family, Science Fiction",Characters from the X-Men trilogy join their younger selves to change the past and save our future.,132,min,2020
s479,Movie,The Undefeated Presents: Hamilton In-Depth,Unknown,"Lin-Manuel Miranda, Thomas Kail, Renee Goldsberry, Leslie Odom Jr., Daveed Diggs, Phillipa Soo",United States,2020-07-05,2020,TV-PG,33 min,"Historical, Musical",The Undefeated Presents: Hamilton In-Depth is a roundtable discussion with 9 stars and the director.,33,min,2020
s480,TV Show,Animal ER,Unknown,Dr. Brian Beale,United States,2020-07-03,2016,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family",Animal ER brings you up close to the bleeding edge of animal care.,2,Seasons,2020
s481,Movie,Diary of a Wimpy Kid: Rodrick Rules,David Bowers,"Zachary Gordon, Devon Bostick, Rachael Harris, Robert Capron, Steve Zahn",United States,2020-07-03,2011,PG,100 min,"Comedy, Family","In 7th grade, Greg must bond with his brother, Rodrick while also impressing the new girl in town.",100,min,2020
s482,Movie,Hamilton,Thomas Kail,"Daveed Diggs, Renée Goldsberry, Jonathan Groff, Christopher Jackson, Jasmine Jones, Lin-Manuel Miranda",United States,2020-07-03,2020,PG-13,160 min,"Biographical, Historical, Musical",The filmed version of Broadway original “Hamilton” that soars in music and tale.,160,min,2020
s483,Movie,Ice Age: Collision Course,Mike Thurmeier,"Ray Romano, John Leguizamo, Denis Leary, Adam Devine, Jesse Ferguson, Max Greenfield","United States, United Kingdom, Australia",2020-07-03,2016,PG,97 min,"Action-Adventure, Animation, Comedy","When their world is threatened, Manny and friends go on a quest to survive the Scrat-tastrophe!",97,min,2020
s484,Movie,Race to Witch Mountain,Andy Fickman,"Dwayne Johnson, AnnaSophia Robb, Carla Gugino, Ciarán Hinds, Alexander Ludwig, Tom Scott",United States,2020-07-03,2009,PG,100 min,"Action-Adventure, Family, Science Fiction",A Las Vegas cab driver helps two aliens disguised as teens get home to save their planet... and ours.,100,min,2020
s485,Movie,The Big Green,Holly Sloan,"Steve Guttenberg, Olivia d'Abo, Jay Sanders, John Terry, Chauncey Leopardi, Patrick Renna",United States,2020-07-03,1995,PG,100 min,"Comedy, Family, Sports",A group of bored misfits become local soccer heroes in a sleepy Texas town.,100,min,2020
s486,Movie,The Mighty Ducks,Stephen Herek,"Emilio Estevez, Joss Ackland, Lane Smith, Heidi Kling, Josef Sommer, Joshua Jackson",United States,2020-07-03,1992,PG,104 min,"Comedy, Drama, Sports",A hotshot lawyer reluctantly coaches a hapless pee wee hockey team.,104,min,2020
s487,Movie,While You Were Sleeping,Jon Turteltaub,"Sandra Bullock, Bill Pullman, Peter Gallagher, Peter Boyle, Glynis Johns, Micole Mercurio",United States,2020-07-03,1995,PG,104 min,"Comedy, Drama, Romance",A lonely subway worker is mistaken for a comatose man's finacée.,104,min,2020
s488,TV Show,Disney A.N.T. Farm,Unknown,"China McClain, Sierra McCormick, Jake Short, Stefanie Scott, Carlon Jeffery",United States,2020-06-26,2011,TV-G,3 Seasons,"Comedy, Coming of Age, Music",Chyna Sparks and her friends are the newest members of the A.N.T. program.,3,Seasons,2020
s489,TV Show,Into the Unknown: Making Frozen 2,Unknown,"Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Jennifer Lee, Chris Buck",United States,2020-06-26,2020,TV-PG,1 Season,"Docuseries, Family","For the first time, go behind-the-scenes into the making of the #1 animated film, Frozen 2.",1,Season,2020
s490,Movie,Man in Space,Ward Kimball,"Walt Disney, Dick Tufeld, Ward Kimball, Willy Ley, Dr. Heinz Haber, Dr. Wernher von Braun",United States,2020-06-26,1955,TV-PG,49 min,"Documentary, Family","From the TV series Disneyland, a look at the history of space travel. See details for advisory.",49,min,2020
s491,Movie,Mars and Beyond,Ward Kimball,"Walt Disney, Paul Frees, Dr. Ernst Stuhlinger, Dr. Wernher von Braun, Dr. E.C. Slipher",United States,2020-06-26,1957,TV-G,53 min,"Animation, Documentary, Family",An animated look at humankind's early views of the universe and life on Mars.,53,min,2020
s492,Movie,Marvel Studios' Avengers: Infinity War,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Don Cheadle",United States,2020-06-26,2018,PG-13,152 min,"Action-Adventure, Fantasy, Science Fiction",The Avengers must be willing to sacrifice all to defeat Thanos.,152,min,2020
s493,Movie,Tarzan,"Kevin Lima, Chris Buck","Tony Goldwyn, Minnie Driver, Glenn Close, Alex Linz, Rosie O'Donnell, Brian Blessed",United States,2020-06-26,1999,G,93 min,"Action-Adventure, Animation, Coming of Age","Adopted by gorillas, Tarzan’s life changes forever when he meets other humans.",93,min,2020
s494,Movie,Tarzan II,Brian Smith,"Harrison Chad, George Carlin, Brad Garrett, Ron Perlman, Estelle Harris, Glenn Close",United States,2020-06-26,2005,G,75 min,"Action-Adventure, Animation, Coming of Age",Young Tarzan decides his ape family would be better off without him.,75,min,2020
s495,TV Show,101 Dalmatians (Series),Unknown,"Jeff Bennett, Christine Cavanaugh, Tara Charendoff, Jim Cummings, Tress MacNeille, Charlotte Rae",Unknown,2020-06-19,1997,TV-Y7,1 Season,"Action-Adventure, Animation, Kids",The Dearly Family move to a new farm home in the country.,1,Season,2020
s496,Movie,Big Sur: Wild California,Unknown,Hector Elizondo,United States,2020-06-19,2010,TV-PG,47 min,"Animals & Nature, Documentary, Family",Why is California's Big Sur coastline experiencing an explosion in wildlife?,47,min,2020
s497,TV Show,Disney Junior Muppet Babies Play Date,Unknown,Unknown,Unknown,2020-06-19,2018,TV-Y,1 Season,"Comedy, Kids",Time for a playdate with the Muppet Babies!,1,Season,2020
s498,Movie,Egypt's Treasure Guardians,"Ben Allen, Tom Jenner",Dominic Frisby,United Kingdom,2020-06-19,2016,TV-PG,44 min,"Documentary, Historical","This programme follows a select cast of individuals, determined to bring Egypt back from the brink.",44,min,2020
s499,Movie,The Jungle Book,Jon Favreau,"Bill Murray, Ben Kingsley, Idris Elba, Lupita Nyong'o, Scarlett Johansson, Giancarlo Esposito","United Kingdom, United States",2020-06-19,2016,PG,108 min,"Action-Adventure, Coming of Age, Family",A man-cub who’s been raised by a family of wolves eludes a dangerous tiger.,108,min,2020
s500,Movie,The Pirate Fairy,Peggy Holmes,"Mae Whitman, Christina Hendricks, Tom Hiddleston, Lucy Liu, Raven-Symoné , Megan Hilty",United States,2020-06-19,2014,G,78 min,"Action-Adventure, Animation, Family",Tinker Bell and friends face the pirates of Skull Rock to save a friend.,78,min,2020
s501,Movie,Trail Mix-Up,Barry Cook,"Charles Fleischer, Kathleen Turner, April Winchell, Lou Hirsch, Corey Burton, Frank Welker",United States,2020-06-19,1993,TV-G,9 min,"Action-Adventure, Animation, Comedy",Roger Rabbit is left to care for Baby Herman in Yellowstone National Park.,9,min,2020
s502,Movie,Tummy Trouble,"Frank Marshall, Rob Minkoff","Charles Fleischer, April Winchell, Lou Hirsch, Corey Burton, Richard Williams, Kathleen Turner",United States,2020-06-19,1989,TV-G,8 min,"Action-Adventure, Animation, Comedy",Roger Rabbit is left to babysit with the mischievous Baby Herman,8,min,2020
s503,Movie,Artemis Fowl,Kenneth Branagh,Unknown,United States,2020-06-12,2020,PG,96 min,"Action-Adventure, Crime, Fantasy",A descendant of a long line of criminal masterminds seeks to find his father who has disappeared.,96,min,2020
s504,TV Show,Mighty Med,Unknown,"Bradley Perry, Jake Short, Paris Berelc, Devan Leos",United States,2020-06-12,2013,TV-Y7,2 Seasons,"Comedy, Coming of Age, Medical","Check in to Mighty Med, the secret superhero hospital.",2,Seasons,2020
s505,Movie,The Liberty Story,"Hamilton Luske, Robert Stevenson",Walt Disney,United States,2020-06-12,1957,TV-PG,48 min,"Drama, Family, Historical",Walt Disney presents segments of America's fight for freedom. See details for advisory.,48,min,2020
s506,Movie,The Story of the Animated Drawing,"Wilfred Jackson, William Beaudine",Unknown,United States,2020-06-12,1955,TV-PG,49 min,"Documentary, Family",Walt Disney discusses the history of animation. See details for advisory.,49,min,2020
s507,Movie,Walt & El Grupo,Theodore Thomas,Unknown,United States,2020-06-12,2009,PG,108 min,"Documentary, Historical",The U.S. Government sends Walt Disney to South America on a goodwill tour.,108,min,2020
s508,TV Show,Alaska's Grizzly Gauntlet,Unknown,Les Stroud,United States,2020-06-05,2018,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",Survival expert Les Stroud explores the world of Alaska’s most formidable wildlife.,1,Season,2020
